time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place
1932-10-25T01:07:19.390Z,36.917,-121.967,6,4.6,ml,3,304,2.995,1.33,ci,ci3359399,2016-01-27T18:51:24.800Z,
1932-10-23T12:41:31.400Z,31.5031667,-116.229,6,3.7,ml,2,348,1.611,0.28,ci,ci3359397,2016-01-27T18:55:58.290Z,
1932-10-22T07:33:10.040Z,33.5796667,-118.3055,6,3.17,ml,5,179,0.5782,0.53,ci,ci3359396,2016-01-27T18:34:13.270Z,
1932-10-22T05:54:40.550Z,35.7161667,-117.005,6,2.82,ml,3,247,0.8725,0.24,ci,ci3359395,2016-01-27T18:38:17.260Z,
1932-10-21T20:21:57.800Z,34.9726667,-116.8403333,6,2.7,ml,3,331,1.072,0.48,ci,ci3359394,2016-01-27T18:34:12.800Z,
1932-10-21T17:29:42.730Z,33.2336667,-118.579,6,4.12,ml,4,272,0.9737,0.36,ci,ci3359393,2016-01-27T18:34:12.310Z,
1932-10-21T15:26:05.520Z,33.8258333,-118.4433333,6,2.91,ml,3,316,0.3933,0.3,ci,ci3359392,2016-01-27T18:42:40.260Z,
1932-10-21T14:38:25.480Z,34.9423333,-116.9716667,6,2.9,ml,3,328,1.004,0.36,ci,ci3359388,2016-01-27T18:51:24.340Z,
1932-10-21T02:08:57.860Z,34.6118333,-120.8045,6,2.68,mh,3,357,0.9156,0.18,ci,ci3359385,2016-01-27T18:55:57.830Z,
1932-10-20T14:55:14.690Z,32.5,-115.5,6,2.6,mh,3,335,1.523,2.16,ci,ci3359384,2016-01-27T18:34:11.840Z,
1932-10-20T09:20:17.320Z,31.2896667,-117.069,6,3.72,ml,3,348,1.577,0.96,ci,ci3359383,2016-01-27T18:30:03.830Z,
1932-10-19T16:39:40.600Z,36.165,-121.6815,6,4.71,ml,4,295,2.355,0.55,ci,ci3359379,2016-01-27T18:42:39.790Z,
1932-10-19T03:20:35.310Z,34.0025,-117.6191667,6,2.82,ml,3,343,0.4259,0.52,ci,ci3359377,2016-01-27T18:30:03.300Z,
1932-10-17T15:35:34.710Z,33.1656667,-116.2501667,6,3.5,ml,4,299,0.8958,0.48,ci,ci3359371,2016-01-27T18:42:39.340Z,
1932-10-16T12:08:06.000Z,54.852,-159.594,25,6.6,mw,,,,,iscgem,iscgem906425,2015-05-13T18:52:43.000Z,
1932-10-14T15:48:51.310Z,33.0646667,-115.0326667,6,3.59,ml,3,358,2.165,0.87,ci,ci3359369,2016-01-27T18:42:38.890Z,
1932-10-13T17:51:23.570Z,31.4861667,-116.218,6,3.93,ml,2,348,1.63,0.28,ci,ci3359366,2016-01-27T18:47:11.880Z,
1932-10-11T07:12:18.260Z,32.9225,-115.6131667,6,3.15,ml,3,322,1.382,0.27,ci,ci3359359,2016-01-27T18:51:23.440Z,
1932-10-10T23:12:04.110Z,33.1731667,-116.2418333,6,2.61,ml,4,299,0.9049,0.63,ci,ci3359357,2016-01-27T18:42:37.980Z,
1932-10-10T21:08:03.790Z,32.7138333,-115.4208333,6,2.68,ml,2,328,1.551,0.4,ci,ci3359355,2016-01-27T18:55:57.380Z,
1932-10-10T20:58:44.030Z,32.8585,-115.7298333,6,2.74,mh,2,321,1.283,0.48,ci,ci3359356,2016-01-27T18:34:10.900Z,
1932-10-10T20:43:56.710Z,32.6793333,-115.6491667,6,3.34,ml,3,326,1.365,0.71,ci,ci3359354,2016-01-27T18:47:11.420Z,
1932-10-10T20:39:00.000Z,32.6666667,-115.5,6,3,mh,,,,,ci,ci10087214,2016-01-27T18:42:37.510Z,
1932-10-10T19:53:10.820Z,32.6506667,-115.2883333,6,3.73,ml,2,329,1.67,0.2,ci,ci3359353,2016-01-27T18:42:37.060Z,
1932-10-10T09:08:29.310Z,33.16,-116.5891667,6,2.66,ml,4,281,0.6322,0.65,ci,ci3359352,2016-01-27T19:00:21.170Z,
1932-10-10T07:44:30.900Z,32.8061667,-115.5836667,6,3.4,ml,3,324,1.407,0.29,ci,ci3359351,2016-01-27T18:51:22.980Z,
1932-10-10T06:34:34.630Z,32.3891667,-115.9615,6,2.81,ml,4,330,1.189,0.43,ci,ci3359350,2016-01-27T19:00:20.690Z,
1932-10-10T03:36:12.120Z,32.5,-115.5,6,2.81,ml,2,331,1.523,2.72,ci,ci3359349,2016-01-27T18:47:10.980Z,
1932-10-10T01:29:26.100Z,32.4558333,-115.3206667,6,4.25,ml,2,332,1.681,0.2,ci,ci3359348,2016-01-27T18:42:36.570Z,
1932-10-09T23:45:27.860Z,32.6483333,-115.6085,6,4.12,ml,4,327,1.403,0.49,ci,ci3359347,2016-01-27T18:38:16.310Z,
1932-10-09T22:54:00.000Z,32.6666667,-115.5,6,3,mh,,,,,ci,ci10087210,2016-01-27T18:55:56.960Z,
